artist,song_name,lyric
임영웅,사랑은 늘 도망가,"['눈물이 난다 이 길을 걸으면', '그 사람 손길이 자꾸 생각이 난다', '붙잡지 못하고 가슴만 떨었지', '내 아름답던 사람아', '사랑이란 게 참 쓰린 거더라', '잡으려 할수록 더 멀어지더라', '이별이란 게 참 쉬운 거더라', '내 잊지 못할 사람아', '사랑아 왜 도망가', '수줍은 아이처럼', '행여 놓아버릴까 봐', '꼭 움켜쥐지만', '그리움이 쫓아 사랑은 늘 도망가', '잠시 쉬어가면 좋을 텐데', '바람이 분다 옷깃을 세워도', '차가운 이별의 눈물이 차올라', '잊지 못해서 가슴에 사무친', '내 소중했던 사람아', '사랑아 왜 도망가', '수줍은 아이처럼', '행여 놓아버릴까 봐', '꼭 움켜쥐지만', '그리움이 쫓아 사랑은 늘 도망가', '잠시 쉬어가면 좋을 텐데', '기다림도 애태움도 다 버려야 하는데', '무얼 찾아 이 길을 서성일까', '무얼 찾아 여기 있나', '사랑아 왜 도망가', '수줍은 아이처럼', '행여 놓아버릴까 봐', '꼭 움켜쥐지만', '그리움이 쫓아 사랑은 늘 도망가', '잠시 쉬어가면 좋을 텐데', '잠시 쉬어가면 좋을 텐데']"
WSG워너비 (가야G),그때 그 순간 그대로 (그그그),"['잘 지냈지? 조금은 어색해 요즘 좋아 보여 인사 나누며', '사실 궁금한 게 너무 많았는데 반가움에 멍해졌죠', '', '생각보다 오래 된 것 같은 우리 수다스럽던 그때가 생각나', '뭐가 그렇게도 할 말이 많아서 밤을 지새우곤 했죠', '', '그리운 목소리 그리던 얼굴 참 많이도 기다렸어', '', '다시 만나자는 너의 한마디에 울컥 눈물이 나', '결국 너였단 걸', '', '알아', '기다림의 끝은 기적이 되고 기적 같은 우린 운명처럼', '', '서로를 알아보고 그렇게 눈앞에 서있죠', '', '우리 사랑했던 우리 다시 만나 그때 그 순간 그대로', '사랑했고 사랑할 거니까', '', '같이 듣던 노래 그때 그 거리를 이제 혼자 아닌 너와 둘이 걸어', '', '다시 오른쪽에 나란히 발맞춰 같은 노래를 부르죠', '', '그리운 만남을 그리던 날들 참 많이도 기다렸어', '', '다시 너를 만나 더욱 더 소중해 같은 마음이란 걸', '', '알아', '기다림의 끝은 기적이 되고 기적 같은 우린 운명처럼', '', '서로를 알아보고 그렇게 눈앞에 서있죠', '', '우리 사랑했던 우리 다시 만나 그때 그 순간 그대로', '', '사랑했고 사랑할 거니까', '', '처음 느낌 그대로 설렘이 가득한 날', '', '고마워 다시 돌아와줘서', '', '그때 그 순간처럼 날', '', '안아줘', '', '결국 기다림의 끝은 기적이 되고 기적 같은 우린 운명처럼', '', '서로를 알아보고 그렇게 눈앞에 서있죠', '', '우리 사랑했던 우리 다시 만나 그때 그 순간 그대로', '', '사랑했고 사랑할 거니까']"
BE'O (비오),자격지심 (Feat. ZICO),"['내 나이는 20', '하고도 플러스 2지', '주위 친구들은 일찍', '만들어 본인의 PPT', '말도 안 돼 거짓말', '내게 하지 마', '티는 안 냈지만 짜증 나', '사실 난 속 좁아서 다 빈말이야', '그릇이 넓지 못한가 봐', '주위 사람의 성공이 배 아파', '매일 밤 열심히 하는 게 아마', '뒤떨어질까 봐 일지 몰라', '담배 한 대 피우고 한숨을 내뱉어', '내가 난데 왜 이래', '이러지 않았는데 나', 'I say really? really?', 'really? really?', '진짜네', '사실 잘 될 줄 난 몰랐는데', 'You say too busy busy busy busy', '바쁘대', '그래 다음에 시간 될 때 봐', ""위로하지 마 No, I'm fine"", '축하는 하지만 안 불러줄래 네 노랜', '또 티 나지만 Oh good night', '어쩔 수 없어 내가 어른이 되길 먼저', '“노래하지 마 발성부터 글렀다고', '너 래퍼라면서 왜 이리 뚝딱거려', '그건 그렇다 쳐 지금 얼굴 갖고', '티비에 나온다니 정말 클났어”', '신인 팀들 투정해 대기실이 비좁대', '우린 부럽기만 한데', ""블락비 wasn't there"", '내 폴더 인사를 쌩깠던 선배 기억해', '오래 못 가서 나락 갔지', 'But I’m still your fan', '월등함이면 몰라', '열등감은 빠져 모양', '질투 시샘 따위 Not my style', '남 좋은 일 하는 거니까', 'Yeah now you see me', '사기캐인데 No cheating', '못 믿겠음 직접 지켜봐', 'I say really? really?', 'really? really?', '진짜네', '사실 잘 될 줄 난 몰랐는데', 'You say too busy busy busy busy', '바쁘대', '그래 다음에 시간 될 때 봐', ""위로하지 마 No, I'm fine"", '축하는 하지만 안 불러줄래 네 노랜', '또 티 나지만 Oh good night', '어쩔 수 없어 내가 어른이 되길 먼저', '모두가 너무 다 커 보여', '나 빼고 Say, Life is beautiful', '네 자랑은 이제 안 부러워', '라고 말하며 귀는 또 쫑긋 서', 'Really really?', '이제 내 차례야 라고 말하며 헛기침', '거울을 보며 내게 물어', 'Really? really? really? really?', 'I say really? really?', 'really? really?', '진짜네', '사실 잘 될 줄 난 몰랐는데', 'You say too busy busy busy busy', '바쁘대', '그래 다음에 시간 될 때 봐', ""위로하지 마 No, I'm fine"", '축하는 하지만 안 불러줄래 네 노랜', '또 티 나지만 Oh good night', '어쩔 수 없어 내가 어른이 되길 먼저']"
NewJeans,Cookie,"['내가 만든 쿠키', '너를 위해 구웠지', 'But you know that it ain’t for free, yeah', '', '내가 만든 쿠키', '너무 부드러우니', '자꾸만 떠오르니', '', '널 choco-chip으로', 'Sprinkle로', '입맛 버리게 만들고 싶어', '숨기고 있지만 널 더 보고 싶어', '', 'If you want it', 'You can get it', 'If you want it', '네 목소리를 또 들려줘 boy', '', '식사는 없어 배고파도', '음료는 없어 목말라도', '달콤한 맛만 디저트만 만', '원하게 될 거 알잖아', '', '식사는 없어 배고파도', '음료는 없어 목말라도', '달콤한 맛만 디저트만 만', '원하게 될 거 알잖아', '', '내가 만든 쿠키', '너에게는 독이지', '네 마음속을 녹이지', 'So good, yeah', '', 'Looking at my cookie', '역시 향기부터 다르니 (Taste it)', '한입은 모자라니', '', '널 choco-chip으로', 'Sprinkle로', '정신 못 차리게 만들고 싶어', '숨기고 있지만 널 더 보고 싶어', '', 'If you want it', 'You can get it', 'If you want it', '네 목소리를 또 들려줘 boy', '', '식사는 없어 배고파도', '음료는 없어 목말라도', '달콤한 맛만 디저트만 만', '원하게 될 거 알잖아', '', '식사는 없어 배고파도', '음료는 없어 목말라도', '달콤한 맛만 디저트만 만', '원하게 될 거 알잖아', '', 'Bet you know', 'Bet you know', 'Bet you know I', '레시핀 없어 딴 데서는 못 찾아', '', 'Take it', ""Don't break it"", 'I wanna see you taste it', 'Sugar, got sugar', '난 재료 안 아끼지', '', 'Bet you know', 'Bet you know', 'Bet you know I', '네 다이어트를 망치고 싶어 나', '', 'Take it', 'Don’t break it', 'I wanna see you taste it', 'Sugar, got sugar', 'Bet you want some', '', '식사는 없어 배고파도', '음료는 없어 목말라도', '달콤한 맛만 디저트만 만', '원하게 될 거 알잖아', '', '식사는 없어 배고파도', '음료는 없어 목말라도', '달콤한 맛만 디저트만 만', '원하게 될 거 알잖아', '', 'Yeah yo', 'Yeah yo', 'Mm mm', 'Yeah yo', 'Yeah yo', 'Mm mm', '', '내가 만든 쿠키', 'Come and take a lookie', '우리 집에만 있지 놀러 와', '', '얼마든지 굽지', '그런데 너 충치', '생겨도 난 몰라', '', '내가 만든 쿠키', 'Come and take a lookie', '우리 집에만 있지 놀러 와', '', '얼마든지 굽지', '그런데 너 충치', '생겨도 난 몰라']"
"강민경 (다비치), 잔나비 최정훈",우린 그렇게 사랑해서,"['밤하늘, 손을 잡으면 기분이 좋다며', '옅은 웃음 띠며 나에게 말하다', '너는 슬픈 노래를 불렀는데', '그게 우리 둘의 주제곡 같았어', '하루는 순진한 눈으로 나를 바라보며', '매일 두 손 모아 하늘에 빈다고', '우리 둘의 시간이 영원하길', '그게 참 아팠는데 그립기도 하더라', '둘이 가던 둘이만 알던', '수많은 거리 그 위로', '하루하루 쌓여만 가던', '소중했던 추억 그 위로', '우리 다시 돌아갈 수 있을까 알아', '결코 닿을 수 없는 시절의 우리', '그때는 이해할 수 없던', '너의 그 마지막', '이젠 선명하게 다 알 것 같았어', '그래 우린 그렇게 사랑해서', '뻔한 이별마저도 우리다웠던 거야', '둘이 가던 둘이만 알던', '수많은 거리 그 위로', '하루하루 쌓여만 가던', '소중했던 추억 그 위로', '우리 다시 돌아갈 수 있을까 알아', '결코 닿을 수 없는 시절의 우리', '그때의 우리처럼', '둘이 가던 둘이만 알던', '어설프던 풍경 그 위로', '자라나고 쌓여만 가던', '어리숙한 모습 그대로', '이제 다시 돌아가면 어떨까 그래', '결코 보낼 수 없는 시절의 우리']"
임영웅,우리들의 블루스,"['잊지는 말아요 함께 했던 날들', '눈물이 날 때면', '그대 뒤를 돌아보면 돼요', '아프지 말아요 쓸쓸한 마음에', '힘든 일이 참 많았죠 그대에겐', '내가 곁에 있을게요', '그댈 위해 노래할게요', '잊지 말아요', '그댈 위해 약속할게요', '언젠가 우리 시간 지나면', '알게 되겠죠', '그땐 웃을 수 있죠 나 약속할게요', '그땐 미소 짓겠죠', '작은 행복까지 모두', '외롭고 지칠 때 손잡아 줄게요', '슬픔이 짙어질 때면 위로해 줄', '그 한 사람이 될게요', '그대 부디 울지 말아요', '슬퍼 말아요', '그대에게 빛이 될게요', '언젠가 우리 시간 지나면', '알게 되겠죠', '그땐 웃을 수 있죠 나 약속할게요', '폭풍 속에 혼자 남아 헤매도 오', '길이 되어 지킬게요 그대', '그댈 위해 노래할게요', '잊지 말아요', '그댈 위해 약속할게요', '어두운 길을 밝게 비추는', '그대의 빛이 될게요']"
10CM,그라데이션,"['밤은 다시 길고 깊어졌네', '나는 점점 너로 잠 못 들게 돼', '글로 적어내긴 어려운 이 기분을', '너도 느꼈으면 좋겠는데', '너는 아무 생각 없이 몇 번', '나를 지나가며 웃은 거라지만', '나의 하얀 옷에 너의 잉크가 묻어', '닦아낼 수 없을 만큼 번졌네', '달콤한 색감이 물들어 조금씩', '정신을 차렸을 땐 알아볼 수도 없지', '가득 찬 마음이 여물다 못해', '터지고 있어', '내일은 말을 걸어봐야지', '요즘 노랜 뭔가 맘에 안 들어', '네게 불러 주기엔 좀 어려워서', '나름 며칠 밤을 새워 연습했지만', '네게 들려주기엔 무리인 것 같아', '너는 번질수록 진해져 가고', '나의 밤은 좀 더 길고 외롭지만', '하루종일 떠오르는 너의 얼굴은', '방을 가득 채워 무지개같이', '달콤한 색감이 물들어 조금씩', '정신을 차렸을 땐 알아볼 수도 없지', '가득 찬 마음이 여물다 못해', '터지고 있어', '내일은 말을 걸어봐야지', '바람을 맞고 빗물에 젖어', '나의 색감도 흐려지겠지만', '너는 항상 빛에 반짝일 테니까', '멋진 말들을 전하지 못하고', '아무도 관심 없는 그림이 되겠지만', '달콤한 색감은 감추지 못해', '터지고 있어', '내일은 말을 걸어봐야지', '그냥 이 노래가 어떨까 싶어']"
임영웅,다시 만날 수 있을까,"['너를 위해 해 줄 것이 하나 없어서', '보낼 수밖에 없었고', '네가 없이 사는 법을 알지 못해서', '순간순간을 울었다', '후회로 가득한 한숨 자락이', '시린 바람처럼', '가슴 치는 날 그 언젠가', '우리 만날 수 있을까', '다시 만날 수 있을까', '그리 좋던 예전처럼 그때처럼', '되돌아갈 수 있을까', '다시 우리가 만나면', '무엇을 해야만 할까', '서로를 품에 안고서', '하염없이 눈물만 흘려볼까', '붙잡을 마음이야 없었겠냐마는', '그때 난 부끄러웠다', '떳떳하게 일어나 널 다시 찾아갈', '뜨거운 꿈만 꾸었다', '둘이 함께 했던 순간순간이', '시린 폭포처럼', '쏟아지는 날 그 언젠가', '우리 만날 수 있을까', '다시 만날 수 있을까', '그리 좋던 예전처럼 그때처럼', '되돌아갈 수 있을까', '다시 우리가 만나면', '무엇을 해야만 할까', '서로를 품에 안고서', '하염없이 눈물만 흘려볼까', '그리운 마음이 서럽게 흘러넘쳐', '너에게 닿을 때', '우리 만날 수 있을까', '다시 만날 수 있을까', '그리 좋던 예전처럼 그때처럼', '되돌아갈 수 있을까', '다시 우리가 만나면', '무엇을 해야만 할까', '서로를 품에 안고서', '하염없이 눈물만 흘려볼까']"
소녀시대 (GIRLS' GENERATION),FOREVER 1,"['FOREVER 1', 'It’s love It’s love', 'We’re not stopping', '', '네가 머문 이 세상이 더', '아름다운 건', ""겁 없이 외치던 말 '사랑해 너를'"", '영원하기에', 'You and I', '', '터지는 눈물이', '말하잖아', '난 그냥 전부 던진 거야', '', '아무런 망설임 따위도', '멋대로 끌렸던 그대로', 'Oh my baby 달려가 안을게', '', 'I love 너의 모든 것, 내 전부인 너', '우리는 영원', 'We are one', '', '전율 속에 뜨거운 그 맘을 던져', 'Just like a love bomb', 'We are one', '', 'Girls, We are forever', '(Yeah we are, We’re still FOREVER 1)', '', 'It’s now or never', '(We keep on, We’re still FOREVER 1)', '', 'Yeah we’re forever', '(Yeah we are, We’re still FOREVER 1)', '', '날 꼭 안아 절대 놓치지 마', '가슴이 뛰잖아', '', '다시는 아파하지 마', '너의 마음을', '우린 다 알아', '다 알아', '', '내 곁에 있어 줘', '이 순간도 마지막처럼', 'You know your love is crazy 항상 그랬지', 'Oh my baby 사랑해 기억해', '', 'I love 너의 모든 것, 내 전부인 너', '우리는 영원', 'We are one', '', '전율 속에 뜨거운 그 맘을 던져', 'Just like a love bomb', 'We are one', '', 'Girls, We are forever', '(Yeah we are, We’re still FOREVER 1)', '', 'It’s now or never', '(We keep on, We’re still FOREVER 1)', '', 'Yeah we’re forever', '(Yeah we are, We’re still FOREVER 1)', '', '언제나 너의 곁에 있고 싶은데', '널 생각하면 강해져', 'There’s no one like you, no one like you', '우리 꼭 영원하자', '', '우리 머문 이 세상에서', '네게 말했어', '다시 태어나도 널 사랑할게', 'Cause we are the one', '', 'I love 너의 (Ooh I Love 나의)', '모든 것 내 전부인 너 (전부인 너)', '우리는 영원 (Ooh)', 'We are one', '', '전율 속에 (그 전율 속에)', '뜨거운 그 맘을 던져', 'Just like a love bomb (Just like a love bomb)', 'We are one', '', 'Girls, We are forever', '(Yeah we are, We’re still FOREVER 1)', '', 'It’s now or never', '(We keep on, We’re still FOREVER 1)', '', 'Yeah we’re forever', '(Yeah we are, We’re still FOREVER 1)']"
WSG워너비 (4FIRE),보고싶었어,"['너를 정말 사랑했나 봐 아직도 널 못 잊었나 봐 자꾸만 생각나', '', '시간은 왜 자꾸 나에게 아픈 기억은 다 지우고 좋은 추억만 남아', '', '우 함께 울고 웃던 계절에 다시 만난다면', '', '보고싶었어 사랑했던 그때의 너와', '니 곁에 그리고 나 널 바라만 봐도 눈물 나게', '', '마냥 좋았어 너에게 못다 한 그 말', '조금은 늦었겠지만 아직 널 사랑한다고 말야', '', '라라라 라라라라랄랄라 라라라라랄랄라', '보고싶었어', '', '라라라 라라라라랄랄라 라라라라랄랄라', '너도 내 맘 같기를', '', '그땐 정말 어렸었나봐 사랑을 잘 몰랐었나 봐', '그게 마음이 아파', '', '우 오늘처럼 눈부신 날에 다시 만난다면', '', '보고싶었어 사랑했던 그때의 너와', '니 곁에 그리고 나 널 바라만 봐도 눈물 나게', '', '마냥 좋았어 너에게 못다 한 그 말', '조금은 늦었겠지만 (늦었겠지만) 아직 널 사랑한다고', '', '꽃 피는 봄이 온 것처럼', '당연한 듯 내곁에 머물 줄만 알았어 (항상)', '', '주는 게 사랑이란 걸 그때야 난 깨달았어', '니가 떠난 후에야', '', '나 너에게 참 고마웠다고 벅차 행복했다고', '사랑을 가르쳐 준 니가 참', '', '보고싶었어 (보고싶었어) 너에게 듣고 싶은 말', '아직 늦지 않았다고 (늦지 않았다고) 너도 날 기다렸다고 말야', '', '라라라 라라라라랄랄라 라라라라랄랄라', '보고싶었어 (Baby can you call me now)', '라라라 라라라라랄랄라 라라라라랄랄라', '', '너도 내 맘 같기를']"
"윤미래, 비비 (BIBI)",LAW (Prod. Czaer),"['look at my lips', 'look at my hips', 'look at me slaying', 'this whole world', 'look at me kissin', 'look at me kickin', '이건 바로 사랑과전쟁', 'look at my lips', 'look at my hips', 'look at me slaying', 'this whole world', 'look at me kissin', 'look at me kickin', '우린 바로 전사 hear me roar', '맘을 열어라', '고개를 들어라', '몸을 데워라', '가서 조져라', 'imma break it down', 'like only i can do', 'bishes talk sht', 'but they never come thru', 'when i come thru', 'best believe it’s over', 'wanna be around me', 'but they get the cold shoulder', 'don’t make me say it', 'cuz i already told ya', 'i’m the baddest chick', 'i done already showed ya', 'On my way to the top', 'mad cuz you not', 'my song in the number 1 spot', 'who’s hot', '니가 뭘 알어', '니가 뭐를 알어', '내가 움직이기 시작하면', '전부 입 닫어', '다시 벌어지게 될거니까', '니 눈 코입 어깨 발 무릎 발', 'look at my lips', 'look at my hips', 'look at me slaying', 'this whole world', 'look at me kissin', 'look at me kickin', '이건 바로 사랑과전쟁', 'look at my lips', 'look at my hips', 'look at me slaying', 'this whole world', 'look at me kissin', 'look at me kickin', '이건 바로 사랑과전쟁', '맘을 열어라', '고개를 들어라', '몸을 데워라', '가서 조져라', '나 운율의 시라소니 마누라', '관자놀이 를 밝히는 아우라', '허리 밑에 손들은 잿가루가 될 테니', '위로 들어 흔들어 다 나와 놀아', '다같이 나눠 가져 지금의 짜릿함', '모두가 하나되는 아릿다움 ( ) 담', '자 이제부터 미래가 시작된 다음', '펼쳐져 갇혀 있던 너의 속마음', '니가 뭘 알어', '니가 뭐를 알어', '내가 움직이기 시작하면', '전부 입닫어', '다시 벌어지게 될거니까', '니 눈 코입 어깨 발 무릎 발', 'look at my lips', 'look at my hips', 'look at me slaying', 'this whole world', 'look at me kissin', 'look at me kickin', '이건 바로 사랑과전쟁', 'look at my lips', 'look at my hips', 'look at me slaying', 'this whole world', 'look at me kissin', 'look at me kickin', '우린 바로 전사 hear me roar', 'i dropin it i killin it', '모르면 외워', 'gotta get crazy', 'gotta get hazy', 'drum and bass를 채워', '생각따위 집어쳐', '니 몸이 가는대로 move it', '내 step by step', '세상을 움직이는 매직', 'break it down like', 'on your mark', 'get ready', 'go', 'look at my lips', 'look at my hips', 'look at me slaying', 'this whole world', 'look at me kissin', 'look at me kickin', '이건 바로 사랑과전쟁', 'look at my lips', 'look at my hips', 'look at me slaying', 'this whole world', 'look at me kissin', 'look at me kickin', '우린 바로 전사 hear me roar', '맘을 열어라', '고개를 들어라', '몸을 데워라', '가서 조져라']"
멜로망스,사랑인가 봐,"['너와 함께 하고 싶은 일들을', '상상하는 게', '요즘 내 일상이 되고', '너의 즐거워하는 모습을 보고 있으면', '자연스레 따라 웃고 있는 걸', '너의 행동에 설레어하고 뒤척이다가', '지새운 밤이 많아지는데', '이건 누가 봐도 사랑일 텐데', '종일 함께면 질릴 텐데', '나 돌아서도 온통 너인 건', '아무래도 사랑인가 봐', '점점 너와 하고 싶은 일들 생각하면서', '하룰 보낸 날이 많아지는데', '이건 누가 봐도 사랑일 텐데', '종일 함께면 질릴 텐데', '나 돌아서도 온통 너인 건', '아무래도 사랑인가 봐', '너의 행복해하는 모습을 보고 있으면', '나도 모르게 따라 웃는데', '이 정도면 알아줄 만하잖아', '너도 용기 낼만 하잖아', '나만 이런 게 아니라면', '우리 만나볼 만하잖아', '아무래도 사랑인가 봐']"
(여자)아이들,TOMBOY,"['Look at you 넌 못 감당해 날', 'Ya took off hook', '기분은 Coke like brrr', 'Look at my toe 나의 Ex 이름 Tattoo', 'I got to drink up now 네가 싫다 해도 좋아', '', 'Why are you cranky, boy?', '뭘 그리 찡그려 너', 'Do you want a blond barbie doll?', 'It’s not here, I’m not a doll', '', '미친 연이라 말해 What’s the loss to me ya', '사정없이 까보라고 You’ll lose to me ya', '사랑 그깟 거 따위 내 몸에 상처 하나도 어림없지', '너의 썩은 내 나는 향수나 뿌릴 바엔', '', 'Ye I’m a Tomboy (Umm ah umm)', 'Ye I’ll be the Tomboy (Umm ah)', 'This is my attitude', 'Ye I’ll be the Tomboy', '', 'I don’t wanna play this ping pong', 'I would rather film a Tik Tok', 'Your mom raised you as a prince', 'But this is queendom, right?', 'I like dancing, I love ma friends', 'Sometimes we swear without cigarettes', 'I like to eh on drinking whiskey', 'I won’t change it, what the hell?', '', '미친 척이라 말해 What’s the loss to me ya', '사정없이 씹으라고 You’re lost to me ya', '사랑 그깟 거 따위 내 눈에 눈물 한 방울 어림없지', '너의 하찮은 말에 미소나 지을 바엔', '', 'Ye I’m a Tomboy (Umm ah umm)', 'Ye I’ll be the Tomboy (Umm ah)', 'This is my attitude', 'Ye I’ll be the Tomboy', '', 'Said you get it?', 'You get the song right, you’ll get what I mean “Tomboy”', '', 'La la la la la la la la la', 'La la la la la la la la la', '', 'La la la la la la la la la', 'La la la la la la la la la', '(Three, two, one)', '', 'It’s neither man nor woman', 'Man nor woman', 'It’s neither man nor woman', '(Just me I-DLE)', '', 'It’s neither man nor woman', 'Man nor woman', 'It’s neither man nor woman', '(Just me loving Tomboy)']"
BIG Naughty (서동현),정이라고 하자 (Feat. 10CM),"['Back to the day', '갓 10대가 됐을 때', '그때 내가 널 보지 못했다면', '어땠을까 해', '왜인지 외로워지는 밤에 You say', '흐린 추억 속에 네게 안겨 잠드네', 'Yeah 친구들과의 술자리', '나는 또 네 얘기를 꺼내', '보고 싶다는 넋두리에', '친구들 답은 뻔해', '10년도 더 된 애를 사랑할 수 있냬', '이제 그만 잊으래', '근데 그게 잘 안돼', '그래 걔 말마따나', '넌 아담의 사과일 수도', 'But 난 신을 안 믿으니까', '네 전화 바로 픽업', '지금 주소 찍어', '어디든 상관없어 다 갈 테니까', '그건 사랑이 아냐', '그건 미련이 아냐', '그냥 정이라고 하자', '임마 네가 뭘 알아', '이건 사랑이 맞아', '분명 약속했단 말이야', 'I know I’m wrong', '그 자리에 그대로', '두고 온 기억들을', '더듬고 있을 때면', 'You say', '그건 사랑이 아냐', '그건 미련이 아냐', '그냥 정리하고 가자', '아메리카노보단 라떼를', '맛있게 내리던 네 집 앞 카페를', '매일 같이 갔었었던 그때를', '내려줄게 쓰지 않아 이제는', '넌 매일 밤 예뻐 예뻐', '해주며 날 재워 재워', '식어버린 널 데워 태워', '꿈에서 날 깨워 줘', '버려진 기억들 속에서', '쓸만한 컷들을 찾고 있어', '이미 내 곁에 더는 없는 너지만', '난 너를 느낄 수 있어', '닿을 듯 안 닿을 듯', '떠나는 뒷모습이', '왜인지 행복해 보여', '너라도 행복해줘', '그건 사랑이 아냐', '그건 미련이 아냐', '그냥 정이라고 하자', '임마 네가 뭘 알아', '이건 사랑이 맞아', '분명 약속했단 말이야', 'I know I’m wrong', '그 자리에 그대로', '두고 온 기억들을', '더듬고 있을 때면', 'You say', '그건 사랑이 아냐', '그건 미련이 아냐', '그냥 정리하고 가자', '그건 사랑이 아냐', '그건 미련이 아냐', '그냥 정이라고 하자', '임마 네 말이 맞아', '이건 사랑이 아냐', '그냥 정리하고 가자']"
#안녕,해요 (2022),"['그녀와 나는요 그땐 참 어렸어요', '많이 사랑했고 때론 많이 다퉜었죠', '지금 생각하면 모두 내 잘못이죠', '마지막 그날도 그녀는 울었어', '나는 그녈 잡지 못했죠', '지금까지도 너무 후회가 돼요', '그 후로 누굴 사랑한 적 없어 아직은', '그녀와 나는요', '언젠가 만날 거죠', '변해버린 모습 변해버린 시간 속에', '하지만 괜찮아 내 눈엔 아름답던', '예전 모습 그대로 일 거예요', '그녀도 날 못 잊을 거야 나는 믿어요', '그만큼 사랑했죠', '그래서 우린 한 번은 만나야만 해요', '그녀의 친구라도 이 노랠 듣는다면', '그녀에게 전해줘요', '내가 아직 사랑한다고', '우리가 처음 만난 그 시간 그 자리에', '내가 매일 기다린다고', '언제라도', '그녀도 날 못 잊을 거야 나는 믿어요', '그만큼 사랑했죠', '그래서 우린 한 번은 만나야만 해요', '그녀의 친구라도 이 노랠 듣는다면', '그녀에게 전해줘요', '내가 아직 사랑한다고', '우리가 처음 만난 그 시간 그 자리에', '내가 매일 기다린다고', '그녀의 친구라도 이 노랠 듣는다면', '그녀에게 전해줘요', '내가 아직 사랑한다고', '우리가 처음 만난 그 시간 그 자리에', '내가 매일 기다린다고', '내가 매일 기다린다고']"
주호,내가 아니라도,"['사랑이었다 별거 없던 내 하루에', '빛이 돼준 단한 사람', '나보다 나를 더 아껴 주던 너를', '그땐 왜 몰랐을까', '행복이었다 다시는 없을 것 같던', '잠시나마 행복했었다', '다른 사람 곁에 있는 널', '생각해 본 적 없지만', '이젠 너를 보내줘야 할 것 같아', '내가 아니라도', '눈부시게 사랑받았을 너라서', '그 소중한 시간을 나와 함께해 줘서', '고마웠어', '예쁘고 아름다웠던 너의 그날에', '함께했던 그 모든 순간이 행복했어', '내 전부였다 무엇도 바꿀 수 없던', '우리라서 행복했었다', '다른 누구라도', '나보다 더 좋은 사람 만나서', '이젠 나를 잊고 행복하게 살아', '내가 아니라도', '눈부시게 사랑받았을 너라서', '그 소중한 시간을 나와 함께해 줘서', '고마웠어', '예쁘고 아름다웠던 너의 그날에', '함께했던 그 모든 순간이 행복했어', '어두웠던 내 하루에', '빛이 되어주던 그날들을', '어떻게 잊고 살아', '과분했던 너라는 사람을 만나', '누구보다 사랑했었다', '내가 아니었다면', '눈부시게 사랑받았을 너란 걸', '이 세상에 누구보다 더 잘 알아서', '미안했어 너와 함께한 날들이', '더 말할 게 있을까', '행복한 기억만 가져갈게']"
임영웅,무지개,"['오늘 하루 어땠었나요', '많이 힘들었나요', '쉬지 않고 달려왔던 길에서', '나와 함께 쉬어가요', '그냥 아무런 준비도 없이', '떠나볼까요', '평범해도 좋으니까', '우리 함께 가요', 'Du Du Du Du Du', '행복 가득 담은 배낭 하나 메고서', '답답했던 일상과 도심을 벗어나', 'Du Du Du Du', 'Du Du Du Du', '떠나볼래요', '힘껏 살다 보니 무뎌져', '헝클어진 머리도', '괜찮다며 그댈 안아줄 사람', '바로 그대 곁에 있죠', '까만 선글라스 하나 챙겨서', '떠나볼까요', '평범해도 좋으니까', '우리 함께 가요', 'Du Du Du Du Du', '행복 가득 담은 배낭 하나 메고서', '답답했던 일상과 도심을 벗어나', 'Du Du Du Du', 'Du Du Du Du', '떠나볼래요', '우리 함께 가요', 'Du Du Du Du Du', '행복 가득 담은 배낭 하나 메고서', '답답했던 일상과 도심을 벗어나', 'Du Du Du Du', 'Du Du Du Du', '떠나볼래요', '우리 함께 가요', 'Du Du Du Du Du', 'Du Du Du Du', 'Du Du Du Du', '떠나볼래요', 'Du Du Du Du', 'Du Du Du Du', '떠나볼래요', 'Du Du Du Du', 'Du Du Du Du', '지금 떠나요']"
경서,나의 X에게,"['우리 다시 만날래', '예쁘게 빛나던', '모든 추억들이', '너무 그리워', '너의 품에 안길래', '이 밤이 새도록', '네게 말할 거야', '너를 좋아한다고', '안녕 그대야', '요즘 어떻게 지내', '가로수길 걷다가', '생각이 나서', '행복해 보이는 사람들 속에', '우리 둘만 없어서', '어색했었어', '늘 집에 갈 땐', '항상 뒤돌아보면', '날 보며 웃어주던', '네가 생각났어', '우리 다시 만날래', '예쁘게 빛나던', '모든 추억들이', '너무 그리워', '너의 품에 안길래', '이 밤이 새도록', '네게 말할 거야', '너를 좋아한다고', '토요일마다 가던', '한강공원에', '이어폰 하나씩', '나눠끼고서', '벚꽃엔딩같이 듣고 있으면', '부러울 게 없었어', '너만 있으면', '널 사랑할 때', '내가 너무 그리워', '날 보며 웃어주던', '네가 보고 싶어', '우리 다시 만날래', '예쁘게 빛나던', '모든 추억들이', '너무 그리워', '너의 품에 안길래', '이 밤이 새도록', '네게 말할 거야', '너를 좋아한다고', '같이 별 보러 갈래', '널 다시 만나면', '네 옆에 기대서', '잠들고 싶어', '너의 품에 안길래', '이 밤이 새도록', '내 곁에 있어줘', '내겐 너뿐이라고']"
